mangaid,objra,objdec,z,emline_sflux_cen_oiii_5008,emline_sflux_1re_oiii_5008,emline_sflux_tot_oiii_5008,emline_sflux_cen_nii_6549,emline_sflux_1re_nii_6549,emline_sflux_tot_nii_6549,emline_sflux_cen_sii_6718,emline_sflux_1re_sii_6718,emline_sflux_tot_sii_6718,emline_sflux_cen_sii_6732,emline_sflux_1re_sii_6732,emline_sflux_tot_sii_6732,emline_sflux_cen_oi_6302,emline_sflux_1re_oi_6302,emline_sflux_tot_oi_6302,emline_sflux_cen_ha_6564,emline_sflux_1re_ha_6564,emline_sflux_tot_ha_6564,emline_sflux_cen_hb_4862,emline_sflux_1re_hb_4862,emline_sflux_tot_hb_4862,emline_sflux_cen_hdel_4102,emline_sflux_1re_hdel_4102,emline_sflux_tot_hdel_4102
1-229940,122.070640563965,25.4258193969727,0.0220896,0.3469965,18.25285,44.21328,3.164197,13.21562,28.84421,-0.6275574,14.19772,18.6692,2.510526,15.85438,22.74541,3.594334,4.136671,-18.0662,11.56068,26.78327,43.69278,0.5230243,5.384958,37.63398,2.771671,-2.542515,-16.33844
1-229940,122.070640563965,25.4258193969727,0.0220896,-1.327243,16.30294,30.98169,3.244087,13.98433,22.47455,-0.8435327,14.78458,19.70527,2.229364,15.76507,16.69798,3.514385,3.903115,-9.991665,11.0427,26.53165,36.23742,0.8833783,5.379631,23.25269,2.901846,-1.511099,-4.941873
1-218233,122.439750671387,25.8803081512451,0.0251066,177.6216,4027.35,8025.212,45.80854,562.9868,963.873,122.2981,1691.588,2971.689,82.25349,1128.813,2011.647,23.01229,283.269,525.1743,543.6911,9014.842,16297.31,156.6281,2621.638,4800.846,35.0975,622.9819,1132.017
1-218233,122.439750671387,25.8803081512451,0.0251066,177.6217,4022.12,7692.096,45.80875,561.9777,905.9017,122.2981,1688.482,2783.528,82.25344,1126.641,1876.549,23.01229,282.4794,465.2949,543.6923,9000.79,15494.7,156.6289,2617.326,4550.153,35.09657,622.1232,1074.322
1-230100,122.735618591309,25.6847133636475,0.0254099,33.55953,115.6027,184.9266,12.15905,48.45862,95.50192,9.935602,-7.259291,-43.96412,7.436174,-37.08294,-59.82112,4.146177,20.4193,45.78273,19.08437,109.0556,194.9764,-7.123034,-9.707013,9.192598,1.934708,6.664844,21.10161
1-230100,122.735618591309,25.6847133636475,0.0254099,33.55964,115.5918,156.6062,12.16611,48.46367,74.4907,9.935626,-7.25315,-24.72435,7.439128,-37.05695,-48.54364,4.153155,20.4216,31.01167,19.08233,109.0477,155.8559,-7.123467,-9.710751,5.041939,1.936798,6.640634,19.49501
1-230129,123.457542419434,26.2546997070313,0.0267338,79.27887,358.1254,516.0144,6.093886,33.77812,62.60169,34.16626,168.7479,258.8198,24.77975,115.4078,166.5287,9.893618,60.25918,152.9202,158.4259,737.1318,1088.095,44.50145,217.7077,350.293,10.6923,59.07862,93.32568
1-230129,123.457542419434,26.2546997070313,0.0267338,76.97961,260.4451,274.6241,5.916196,23.69302,25.33847,33.02884,121.0469,128.7836,23.87407,82.59119,86.70535,9.43055,41.03391,46.76106,153.7086,534.723,564.5855,43.23173,157.0398,167.0793,10.27082,39.28646,42.26458
1-298626,123.768531799316,25.6086845397949,0.0207932,9.745268,57.31315,102.053,2.831748,15.45193,28.10898,0.1952866,12.36082,10.81648,-2.223511,5.378584,-47.35786,7.106761,7.602329,-18.15898,1.210506,18.30803,9.79963,23.03048,67.87278,117.9653,-19.53504,-53.85982,-63.59651
1-298626,123.768531799316,25.6086845397949,0.0207932,11.44425,62.21854,81.12715,1.462101,12.89825,25.61633,0.8597693,14.61355,14.1423,-3.333138,5.964259,-10.06194,6.591057,6.048456,-5.874417,0.1484255,13.86933,12.35102,28.21445,71.77699,91.79377,-22.59841,-60.03841,-64.27063
1-605075,123.064468383789,26.2025718688965,0.0250748,19.12364,214.0701,536.5573,33.65639,437.2059,896.2524,43.5647,603.3607,1316.065,26.96407,410.7689,902.9832,2.353701,74.4585,163.5471,254.4845,3634.92,7598.335,63.41744,945.4213,2014.573,16.96346,239.5749,547.1224
1-605075,123.064468383789,26.2025718688965,0.0250748,19.12332,214.07,427.9015,33.65689,437.2062,783.1635,43.56448,603.3602,1106.974,26.9643,410.7691,761.3619,2.353664,74.45848,141.5146,254.4815,3634.916,6611.375,63.41592,945.4206,1743.601,16.96305,239.5759,455.7998
1-230149,123.872039794922,26.1509819030762,0.0210896,19.35225,408.6151,1399.942,24.4962,377.1765,809.8427,36.86496,643.4771,1599.356,26.17426,466.0823,1156.838,7.996044,124.6479,335.9074,149.5921,2916.438,7170.23,43.38543,843.6619,2145.067,10.25835,198.9222,485.1057
1-230149,123.872039794922,26.1509819030762,0.0210896,19.35216,408.6142,1070.922,24.49619,377.1771,689.0209,36.86495,643.4771,1305.145,26.17425,466.0824,939.1815,7.99604,124.6479,255.0618,149.5919,2916.439,5962.464,43.38496,843.655,1760.128,10.25867,198.9247,408.0374
1-230045,123.884696960449,25.8111324310303,0.0455723,25.25816,168.7934,748.2888,27.87114,136.6043,300.3317,43.04486,245.0231,603.3495,30.33643,173.5773,431.287,10.48349,51.99172,149.4539,220.9131,1228.696,2939.24,53.30688,299.7077,990.3083,8.639951,63.08912,357.746
